"STATION","NAME","DATE","AWND","PRCP","SNOW","SNWD","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT08"
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-01-01","3.80","0.00","0.0","0.0","57","34","  220",,"6.9",,,,,
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-01-02","6.93","0.40","0.0","0.0","65","46","  170","  140","12.1","21.0","    1",,,
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-01-03","6.71","1.50","0.0","0.0","68","58","  160",,"14.1",,"    1",,,
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-01-04","11.86","0.02","0.0","0.0","58","35","  310","  290","21.0","33.1",,,,
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-01-05","5.82","0.00","0.0","0.0","56","29","  340",,"8.9",,,,,
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-01-06","4.25","0.00","0.0","0.0","63","41","  230",,"6.9",,,,,
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-01-07","9.40","0.00","0.0","0.0","59","40","  310","  320","16.1","23.0",,,,
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-01-08","4.47","0.00","0.0","0.0","64","36","   30",,"6.9",,,,,
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-01-09","9.17","0.00","0.0","0.0","65","41","  170","  170","17.0","23.9",,,,
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-01-10","8.50","0.00","0.0","0.0","70","57","  130","  140","12.1","21.0",,,,
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-01-11","12.75","1.15","0.0","0.0","72","61","  160","  160","18.1","28.0","    1",,"    1",
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-01-12","3.13","0.95","0.0","0.0","67","47","  100",,"6.9",,"    1",,,
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-01-13","4.70","0.68","0.0","0.0","66","61","   80",,"8.9",,"    1",,"    1",
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-01-14","5.14","1.42","0.0","0.0","66","59","  180",,"10.1",,"    1",,,
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-01-15","3.58","0.02","0.0","0.0","68","55","  200",,"12.1",,"    1","    1",,
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-01-16","8.72","0.05","0.0","0.0","69","51","   30","  360","15.0","18.1","    1","    1",,
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-01-17","10.74","0.00","0.0","0.0","63","48","   80","   90","14.1","21.0",,,,
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-01-18","8.72","0.18","0.0","0.0",,,"  120","  140","14.1","21.0","    1",,,
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-01-19","12.08","0.16","0.0","0.0","60","35","  320","  320","17.0","23.9","    1",,,
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-01-20","10.29","0.00","0.0","0.0","42","26","  360","  360","14.1","21.0",,,,
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-01-21","9.62","0.00","0.0","0.0","43","22","  350","  360","14.1","21.9",,,,
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-01-22","8.05","0.00","0.0","0.0","52","24","  100","   60","14.1","17.0",,,,
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-01-23","9.62","0.70","0.0","0.0","49","36","  100","  100","15.0","19.9","    1",,,
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-01-24","7.38","0.21","0.0","0.0","58","42","  230","  120","13.0","16.1","    1","    1",,
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-01-25","6.04","0.00","0.0","0.0","52","34","  290",,"10.1",,,,,
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-01-26","3.36","0.01","0.0","0.0","55","32","  300",,"8.1",,,,,
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-01-27","4.47","0.01","0.0","0.0","56","40","  330",,"12.1",,"    1",,,
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-01-28","4.92","0.00","0.0","0.0","63","35","   10",,"8.9",,,,,
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-01-29","5.14","0.08","0.0","0.0","52","41","   70","  100","10.1","16.1",,,,
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-01-30","6.93","0.00","0.0","0.0","60","37","   90",,"10.1",,,,,
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-01-31","8.05","0.00","0.0","0.0","49","41","   40",,"12.1",,"    1",,,
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-02-01","4.25","0.01","0.0","0.0","51","40","  310",,"8.9",,"    1",,,
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-02-02","6.93","0.00","0.0","0.0","63","34","  240","  250","15.0","17.0","    1",,,
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-02-03","6.49","0.00","0.0","0.0","74","42","  180",,"13.0",,,,,
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-02-04","8.28","0.00","0.0","0.0","71","52","  240","  180","16.1","17.0",,,,
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-02-05","9.62","1.89","0.0","0.0","66","61","  150","  150","16.1","23.9","    1",,"    1",
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-02-06","12.08","2.33","0.0","0.0","73","45","  170","  200","19.9","33.1",,,"    1",
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-02-07","8.50","0.05",,"0.0","46","35","  260","  280","15.0","27.1",,,,
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-02-08","5.37","0.01","0.0","0.0","55","34","  320",,"10.1",,,,,
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-02-09","6.93","0.00","0.0","0.0","61","38","  120","  120","10.1","18.1",,,,
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-02-10","6.93","1.03","0.0","0.0","67","49","  160","  140","13.0","17.0","    1",,,
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-02-11","11.18","0.04","0.0","0.0","76","59","  210","  210","17.0","23.0","    1","    1",,
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-02-12","9.17","0.00","0.0","0.0","77","60","  180","  190","21.0","23.9",,,,
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-02-13","11.86","0.60","0.0","0.0","70","42","  310","  190","16.1","25.1","    1",,"    1",
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-02-14","9.62","0.00","0.0","0.0","57","35","  340","  360","16.1","21.0",,,,
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-02-15","6.71","0.00","0.0","0.0","60","30","   50",,"13.0",,,,,
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-02-16","5.82","0.15","0.0","0.0","51","46","   80",,"8.1",,"    1",,,
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-02-17","5.82","0.01","0.0","0.0","56","48","   90",,"8.9",,"    1",,,
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-02-18","6.71","1.86","0.0","0.0","67","54","  190",,"12.1",,"    1","    1",,
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-02-19","5.59","0.41","0.0","0.0","61","52","   60",,"12.1",,"    1",,,
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-02-20","11.63","1.24","0.0","0.0","52","39","   50","   50","17.0","23.9","    1",,,
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-02-21","8.50","0.00","0.0","0.0","50","34","  360","  350","14.1","19.9",,,,
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-02-22","3.58","0.00","0.0","0.0","56","26","   10",,"8.1",,,,,
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-02-23","2.24","0.00","0.0","0.0","55","34","   99",,"6.0",,,,,
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-02-24","5.59","0.83","0.0","0.0","59","45","  150",,"13.0",,,,,
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-02-25","4.92","0.15","0.0","0.0","66","51","  210",,"8.9",,,,,
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-02-26","7.83","0.00","0.0","0.0","54","39","  300","  310","15.0","32.0",,,,
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-02-27","9.62","0.00","0.0","0.0","50","35","  320","  320","18.1","23.0",,,,
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-02-28","7.61","0.00","0.0","0.0","58","31","  260","  240","16.1","23.9",,,,
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-02-29","9.84","0.00","0.0","0.0","61","37","  310","  310","25.1","31.1",,,,
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-03-01","6.71","0.00","0.0","0.0","66","41","  190",,"14.1",,,,,
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-03-02","8.72","0.27","0.0","0.0","63","47","  170",,"12.1",,"    1",,,
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-03-03","5.59","1.32","0.0","0.0","66","59","  230",,"13.0",,"    1","    1","    1",
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-03-04","5.82","1.65","0.0","0.0","60","52","   20","   30","12.1","19.9","    1","    1","    1",
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-03-05","8.50","0.93","0.0","0.0","54","49","   80","  100","17.0","18.1","    1",,"    1",
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-03-06","10.74","0.00","0.0","0.0","60","40","  330","  340","21.0","32.0",,,,
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-03-07","7.16","0.00","0.0","0.0","61","33","   10","   10","13.0","21.0",,,,
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-03-08","6.71","0.00","0.0","0.0","65","43","  140","  130","12.1","17.0",,,,
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-03-09","8.50","0.00","0.0","0.0","70","48","  160","  170","16.1","23.0",,,,
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-03-10","5.37","0.00","0.0","0.0","67","55","  220","  220","15.0","19.9",,,,
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-03-11","5.82","0.01","0.0","0.0","70","57","  200","  220","18.1","18.1","    1","    1",,
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-03-12","8.28","0.00","0.0","0.0","79","57","  220","  220","17.0","21.9","    1","    1",,
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-03-13","7.16","0.00","0.0","0.0","77","61","  220",,"10.1",,,,,
